Anno;Ascolti;Share
1987;15950000;68,71
1988;14400000;63,35
1989;15000000;66,13
1990;14316000;63,88
1991;13786000;52,29
1992;15275000;60,32
1993;15267000;56,11
1994;12625000;53,63
1995;16845000;66,42
1996;12734000;52,99
1997;13937000;58,11
1998;13694000;52,62
1999;14548000;56,02
2000;12920000;54,25
2001;10989000;47,82
2002;11479000;54,02
2003;8888000;43,44
2004;8922000;39,2
2005;11723000;52,8
2006;7871000;40,2
2007;9304000;47
2008;6612000;35,4
2009;10335000;48
2010;10994000;48,1
2011;11523000;48,2
2012;11122000;47,3
2013;11936000;47,3
2014;8763000;39,3
2015;10725000;46,8
2016;10629000;47,7
2017;10740000;48,9
2018;10867000;50,3
2019;9871000;47,7
2020;10118000;53,2
2021;8549000;45
2022;11271600;58
2023;10783000;62,96
2024;11400000;66
